time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-06T05:54:22.710Z,19.7025,-64.7766,45,3.58,md,10,313,1.8933,0.44,pr,pr2019340003,2019-12-07T06:44:43.040Z,"130km N of Road Town, British Virgin Islands",earthquake,4.28,29.32,0.16,8,reviewed,pr,pr
2019-12-06T05:33:20.750Z,36.1040001,-117.8548355,2.37,3.39,ml,51,54,0.01355,0.16,ci,ci39219160,2019-12-06T16:40:57.699Z,"11km NE of Coso Junction, CA",earthquake,0.21,0.33,0.298,18,reviewed,ci,ci
2019-12-06T05:01:36.492Z,13.1818,-89.5032,72.94,4.2,mb,,175,1.378,0.89,us,us60006mu7,2019-12-06T07:42:28.040Z,"39km SSW of La Libertad, El Salvador",earthquake,7,15.1,0.098,29,reviewed,us,us
2019-12-06T04:12:37.110Z,18.6893,-65.5311,57,2.84,md,8,316,0.6328,0.56,pr,pr2019340000,2019-12-06T11:33:43.422Z,"40km NNE of Luquillo, Puerto Rico",earthquake,6.48,7.96,0.35,8,reviewed,pr,pr
2019-12-06T04:01:16.502Z,-49.4172,120.9502,10,4.5,mb,,148,16.706,0.7,us,us60006mtl,2019-12-06T04:21:51.040Z,"Western Indian-Antarctic Ridge",earthquake,13.2,1.9,0.163,11,reviewed,us,us
2019-12-06T03:40:29.900Z,-49.3299,120.7416,10,4.8,mb,,90,16.595,0.77,us,us60006mt6,2019-12-06T03:57:09.040Z,"Western Indian-Antarctic Ridge",earthquake,10.5,1.9,0.111,25,reviewed,us,us
2019-12-06T01:45:43.118Z,-49.3214,120.664,10,5.1,mb,,74,16.578,0.84,us,us60006ms5,2019-12-06T02:02:39.040Z,"Western Indian-Antarctic Ridge",earthquake,13.5,1.9,0.114,25,reviewed,us,us
2019-12-06T01:03:34.306Z,-11.4693,117.0371,10,4.5,mb,,102,4.117,1.03,us,us60006mrl,2019-12-06T01:25:31.040Z,"289km S of Besisora, Indonesia",earthquake,8.7,1.9,0.128,18,reviewed,us,us
2019-12-06T00:07:39.223Z,-17.3866,-69.6236,148.53,4.4,mb,,92,0.243,1.16,us,us60006mqm,2019-12-06T01:42:31.040Z,"44km ENE of Tarata, Peru",earthquake,8.6,7.7,0.155,12,reviewed,us,us
2019-12-05T23:29:25.650Z,37.4093323,-118.4458313,9.62,2.83,md,25,120,0.02407,0.06,nc,nc73312051,2019-12-06T04:06:51.460Z,"4km NW of Dixon Lane-Meadow Creek, CA",earthquake,0.35,0.67,0.23,35,automatic,nc,nc
2019-12-05T22:52:27.640Z,19.0865,-67.1735,30,2.84,md,9,291,0.6221,0.34,pr,pr2019339008,2019-12-05T23:25:27.300Z,"66km NNW of Isabela, Puerto Rico",earthquake,1.86,11,0.4,9,reviewed,pr,pr
